Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Image,Dataset,Sum_Mean,Max,Max_Area,Sum_Area
c:1/3 - Centrin_PCNT_Cep215_20110506_Fri-1545_0_SIR_PRJ.dv,5,0.367,0.073,0.357,4.397,0,1.141,1884807,CDK5RAP2-C,4.397,0,0.240,2.401
c:1/3 - Centrin_PCNT_Cep215_20110506_Fri-1559_0_SIR_PRJ.dv,4,0.218,0.054,0.212,6.182,0,1.003,1884808,CDK5RAP2-C,24.599,255,0.565,2.617
c:1/3 - Centrin_PCNT_Cep215_20110506_Fri-1608_0_SIR_PRJ.dv,4,0.114,0.029,0.111,21.103,0,0.604,1884809,CDK5RAP2-C,21.103,0,0.320,2.210
c:1/3 - Centrin_PCNT_Cep215_20110506_Fri-1620_0_SIR_PRJ.dv,3,0.136,0.045,0.133,9.510,0,0.885,1884810,CDK5RAP2-C,29.737,0,0.673,3.033
c:1/3 - Centrin_PCNT_Cep215_20110506_Fri-1633_0_SIR_PRJ.dv,3,0.205,0.068,0.200,9.545,0,1.001,1884811,CDK5RAP2-C,29.624,0,0.345,2.826
c:1/3 - Centrin_PCNT_Cep215_20110506_Fri-1643_0_SIR_PRJ.dv,3,0.154,0.051,0.150,8.037,0,0.877,1884812,CDK5RAP2-C,13.174,0,0.547,2.984
c:1/3 - Centrin_PCNT_Cep215_20110506_Fri-1648_0_SIR_PRJ.dv,4,0.160,0.040,0.156,25.987,0,0.753,1884813,CDK5RAP2-C,36.415,0,0.492,2.265
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1159_1_SIR_PRJ.dv,5,0.347,0.069,0.337,15.507,0,1.239,1884814,CDK5RAP2-C,27.650,0,0.273,1.538
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1242_1_SIR_PRJ.dv,3,0.282,0.094,0.275,7.806,0,1.693,1884815,CDK5RAP2-C,30.529,0,0.256,1.205
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1246_1_SIR_PRJ.dv,8,0.301,0.038,0.293,5.426,0,0.908,1884816,CDK5RAP2-C,5.426,255,0.369,1.334
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1251_1_SIR_PRJ.dv,13,0.427,0.033,0.415,64.451,0,0.689,1884817,CDK5RAP2-C,76.830,0,0.162,2.464
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1701_0_SIR_PRJ.dv,17,0.866,0.051,0.842,5.100,0,0.779,1884818,CDK5RAP2-C,34.005,255,0.353,4.062
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1713_0_SIR_PRJ.dv,5,0.336,0.067,0.327,5.604,0,0.980,1884819,CDK5RAP2-C,26.096,255,0.282,2.547
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1721_0_SIR_PRJ.dv,5,0.804,0.161,0.783,9.350,0,2.174,1884820,CDK5RAP2-C,44.726,255,0.941,7.429
