Slice,Count,Total Area,Average Size,%Area,Mean,Mode,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret,Dataset,Bounding_Box
c:3/3 - Centrin_PCNT_Cep215_20110506_Fri-1545_0_SIR_PRJ.dv,5,0.394,0.079,0.383,0,0,1.363,0.458,4.396,4.697,98.433,0.259,CDK5RAP2-C,0.373
c:3/3 - Centrin_PCNT_Cep215_20110506_Fri-1559_0_SIR_PRJ.dv,2,0.539,0.270,0.525,0,0,2.286,0.696,4.970,3.010,68.710,0.508,CDK5RAP2-C,1.082
c:3/3 - Centrin_PCNT_Cep215_20110506_Fri-1608_0_SIR_PRJ.dv,4,0.535,0.134,0.520,0,0,1.776,0.536,4.267,3.712,64.683,0.373,CDK5RAP2-C,0.722
c:3/3 - Centrin_PCNT_Cep215_20110506_Fri-1620_0_SIR_PRJ.dv,7,0.811,0.116,0.789,0,0,1.355,0.493,5.267,4.922,88.220,0.243,CDK5RAP2-C,1.818
c:3/3 - Centrin_PCNT_Cep215_20110506_Fri-1633_0_SIR_PRJ.dv,6,0.627,0.105,0.610,0,0,1.331,0.489,5.768,4.396,100.622,0.290,CDK5RAP2-C,0.744
c:3/3 - Centrin_PCNT_Cep215_20110506_Fri-1643_0_SIR_PRJ.dv,4,0.613,0.153,0.597,0,0,1.823,0.515,5.306,5.069,102.361,0.364,CDK5RAP2-C,1.224
c:3/3 - Centrin_PCNT_Cep215_20110506_Fri-1648_0_SIR_PRJ.dv,2,0.422,0.211,0.410,0,0,1.926,0.639,4.950,5.207,112.648,0.407,CDK5RAP2-C,0.719
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1159_1_SIR_PRJ.dv,5,0.347,0.069,0.337,0,0,1.239,0.361,4.633,4.871,105.703,0.249,CDK5RAP2-C,0.613
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1242_1_SIR_PRJ.dv,3,0.282,0.094,0.275,0,0,1.693,0.457,4.765,6.904,103.211,0.294,CDK5RAP2-C,0.824
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1246_1_SIR_PRJ.dv,8,0.301,0.038,0.293,0,0,0.908,0.343,4.277,4.118,109.089,0.188,CDK5RAP2-C,0.536
c:1/2 - Ctrl_Cep215_NEDD1_20101116_Tue-1251_1_SIR_PRJ.dv,13,0.427,0.033,0.415,0,0,0.689,0.260,5.477,5.663,104.672,0.178,CDK5RAP2-C,0.226
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1701_0_SIR_PRJ.dv,17,0.866,0.051,0.842,0,0,0.779,0.327,3.415,4.442,52.724,0.197,CDK5RAP2-C,0.387
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1713_0_SIR_PRJ.dv,5,0.336,0.067,0.327,0,0,0.980,0.398,5.584,4.998,87.585,0.230,CDK5RAP2-C,0.353
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1721_0_SIR_PRJ.dv,5,0.804,0.161,0.783,0,0,2.174,0.640,5.504,5.433,88.047,0.355,CDK5RAP2-C,1.153
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1726_0_SIR_PRJ.dv,2,0.643,0.321,0.626,0,0,3.811,0.820,4.653,5.702,97.941,0.561,CDK5RAP2-C,1.553
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1733_0_SIR_PRJ.dv,2,0.321,0.161,0.313,0,0,2.624,0.546,4.594,4.277,139.457,0.470,CDK5RAP2-C,0.759
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1740_0_SIR_PRJ.dv,6,1.004,0.167,0.977,0,0,2.389,0.667,4.303,4.811,97.762,0.373,CDK5RAP2-C,0.734
c:1/3 - Cep215_PCNT_gtub_20110506_Fri-1751_0_SIR_PRJ.dv,6,0.268,0.045,0.261,0,0,0.991,0.375,6.329,5.933,109.201,0.222,CDK5RAP2-C,0.267
c:1/3 - Cep215_PCNT_NEDD1_20110505_Thu-1216_0_SIR_PRJ.dv,11,0.770,0.070,0.749,0,0,1.456,0.483,4.115,4.831,87.408,0.238,CDK5RAP2-C,0.636
c:1/3 - Cep215_PCNT_NEDD1_20110505_Thu-1241_0_SIR_PRJ.dv,4,0.321,0.080,0.313,0,0,1.096,0.368,4.148,6.079,89.318,0.247,CDK5RAP2-C,0.527
c:1/3 - Cep215_PCNT_NEDD1_20110505_Thu-1331_0_SIR_PRJ.dv,5,0.179,0.036,0.174,0,0,0.810,0.320,5.386,3.794,97.046,0.181,CDK5RAP2-C,0.245
c:1/3 - Cep215_PCNT_NEDD1_20110505_Thu-1403_0_SIR_PRJ.dv,8,0.190,0.024,0.185,0,0,0.607,0.265,3.435,3.906,90.046,0.134,CDK5RAP2-C,0.094
c:1/3 - Cep215_PCNT_NEDD1_20110505_Thu-1436_0_SIR_PRJ.dv,4,0.262,0.065,0.255,0,0,1.249,0.462,2.960,3.000,106.430,0.204,CDK5RAP2-C,0.428
c:1/3 - Cep215_PCNT_NEDD1_20110505_Thu-1441_0_SIR_PRJ.dv,5,0.497,0.099,0.484,0,0,1.560,0.485,4.578,4.910,94.600,0.314,CDK5RAP2-C,0.502
